Company Name,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions,Reserves and funds,Total income,Paid up equity capital (net of forfeited equity capital),Year,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Retained profits/losses during the year,Profit after tax,Current liabilities & provisions
Engineering Projects (India) Ltd.,141.31,937.72,35.42,3/31/2012,-55.38,913.25,891.28,5998.41,5998.41,881.42,,-0.8,-28.73,16.24,24.47,5678.79,154.53,885.04,35.42,3/31/2013,64.42,863.58,844.51,6360.36,6360.36,834.42,,45.97,-140.36,13.18,21.46,5776.84,162.45,890.51,35.42,3/31/2014,69.08,873.52,850.14,2236.82,2236.82,854.32,,3.08,22.95,8.71,16.99,1830,180.9,1060.69,35.42,3/31/2015,101.59,1033.6,1009.14,1819.59,1819.59,1031.29,,45.71,30.53,18.57,27.09,1324.68,192.42,1323.23,35.42,3/31/2016,159.96,1298.68,1269.89,1618.4,1618.4,1295.47,,2.58,108.39,11.53,24.55,1018.9,195.1,1664.36,35.42,3/31/2017,4.62,1661.67,1627.81,1954.44,1954.44,1630.38,,8.82,-5.34,2.69,2.69,1166.85,195.25,1624.18,35.42,3/31/2018,-4.02,1624.04,1608.12,1992.88,1992.88,1607.41,,,,0.14,0.14,1265.97,162.21,1797.23,35.42,3/31/2019,0.92,1830.26,1804.09,1874.26,1874.26,1791.05,,-35.95,-54.91,-33.03,-33.03,1149.1,163.14,1345.83,35.42,3/31/2020,41.95,1344.91,1326.12,1981.14,1981.14,1336.59,,60,-64.89,0.92,0.92,1176.11,113.12,814.19,35.42,3/31/2021,-15.58,863.93,844.02,1850.49,1850.49,805.62,,-153.53,22.75,-50.02,-49.74,1008.16
Epsilon Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,49.17,3,3/31/2003,1.24,48.93,48.45,7.91,7.91,49.08,,,,0.24,0.24,3.8,2.97,45.72,3,3/31/2004,3.14,45.55,45.12,9.1,9.1,45.7,,,,0.17,0.17,2.43,3.01,51.74,3,3/31/2005,3.37,51.7,51.33,11.28,11.28,51.71,,,,0.04,0.04,4.53,2.81,53.73,3,3/31/2006,2.9,53.93,53.44,11.79,11.79,53.73,,-0.04,0.1,-0.2,-0.2,5.23,2.84,56.55,3,3/31/2007,3.78,56.51,56.24,7.44,7.44,56.44,,,,0.04,0.04,0.95,2.83,57.34,3,3/31/2008,3.19,57.34,57.05,10.61,10.61,57.34,,,,0,0,4.14,2.77,57.81,3,3/31/2009,3.43,57.88,57.58,9.91,9.91,57.81,,0.65,-0.01,-0.07,-0.07,4.14,2.71,31.41,3,3/31/2010,3.63,31.47,31.22,9.56,9.56,31.41,,0.2,-0.2,-0.06,-0.06,3.85
Esskay Pharmaceuticals Ltd.,0.22,1.05,1.78,6/30/1993,0.14,0.83,0.77,2.85,2.85,1.04,1.11,,,0.22,0.22,0.3,0.91,2.62,3.49,3/31/1994,1.25,1.93,1.88,5.32,5.32,2.56,1.11,,,0.69,0.69,0.4,1.89,10.28,4.35,3/31/1995,0.91,10.42,10.26,10.42,10.42,10.27,1.11,,,0.98,0.98,0.28,2.19,8.08,4.44,3/31/1996,1.22,7.47,6.51,13.01,13.01,7.77,1.34,-0.62,0.23,0.3,0.3,1.45,-4.49,1.28,4.44,3/31/1997,-2.87,7.96,2.51,7.84,7.84,1.25,1.16,0.09,0.34,-6.69,-6.69,2.19,-7.06,3.88,4.44,3/31/1998,-4.27,6.68,5.17,9.39,9.39,3.8,1.11,0.14,0.21,-2.57,-2.57,5.64,-11.72,2.44,4.44,3/31/1999,-8.58,7.54,5.78,7.43,7.43,1.92,1.11,0.08,0.36,-4.65,-4.65,7.7,-13.53,3.28,4.45,3/31/2000,-9.88,5.2,4.06,7.69,7.69,3.21,1.11,-0.13,0.15,-1.81,-1.81,9.25,-15.03,6.74,4.44,3/31/2001,-10.51,8.21,7.26,8.21,8.21,6.44,1.11,-0.09,-0.01,-1.51,-1.51,10.72,-16.22,1.98,4.44,3/31/2002,-10.98,3.33,2.57,6.53,6.53,1.91,0.91,-0.02,0.03,-1.2,-1.2,10.04
Future Axiom Telecom Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,0.52,2.52,6/30/2007,-0.03,0.67,0.59,1.91,1.91,0.52,,-0.14,-0.28,-0.1,-0.1,0.13,123.82,75.3,20,3/31/2008,109.81,83.93,82.46,159.12,159.12,73.66,,-95.21,-23.16,-5.26,-5.26,13.52,90.89,296.89,20,3/31/2009,34,331.68,317.1,166.59,166.59,286.9,,35.68,-51.82,-32.92,-32.92,55.7,24.98,264.59,20,3/31/2010,-12.65,327.69,259.67,123.13,123.13,259.68,,-4.43,-5.26,-65.91,-65.91,78.15
G S P L (India) Ltd.,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,7.52,,,,,,,,,,,,,,,,5.73,,,,,,,,,,,,,,,,7.17,,,,,,0.39,1.94,3.8,6/30/1996,2.1,1.94,1.47,6.89,6.89,1.91,6.99,-0.59,-0.06,0.01,0.01,1.56,0.15,1.08,4.03,6/30/1997,0.91,1.65,1.28,6.89,6.89,1.05,5.37,-0.2,-0.88,-0.24,-0.24,1.47,-0.03,0.63,4.05,3/31/1998,0.96,0.8,0.53,6.91,6.91,0.6,3.94,-0.02,0.17,-0.18,-0.18,1.64,-0.27,0.54,4.05,3/31/1999,1.09,0.79,0.48,6.77,6.77,0.53,2.51,-0.05,0.02,-0.25,-0.25,1.58
G T C L Mobile-Com Technology Ltd.,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,6.6,,,,,,,,,3/31/1996,-0.49,,,20.08,20.08,,5.96,-18.58,1.2,,,1.4,-0.37,1.13,17.88,3/31/1997,-2.9,2.43,1.74,36.86,36.86,0.98,5.37,-7.28,-6.93,-0.37,-0.37,3.29,0.37,80.07,20.58,6/30/1998,-2.27,87.88,81.56,69.69,69.69,79.51,5.87,0.35,-9.29,0.75,0.75,20.04,-3.07,48.12,20.58,6/30/1999,-8.32,48.79,39.54,72.96,72.96,46.05,6.45,1.88,-4.89,-3.45,-3.45,16.01,-10.49,38.47,20.67,6/30/2000,-4.08,43.66,34.94,71.74,71.74,35.44,6.27,2.97,-0.82,-7.42,-7.42,16.57,-17.64,23.46,20.67,6/30/2001,-10.79,27.53,17.38,64.07,64.07,20.35,5.65,3.11,4.01,-7.15,-7.15,15.62,-22.84,52.4,20.67,6/30/2002,-17.34,57.33,48.25,63.51,63.51,51.37,5.17,1.03,-1.17,-5.2,-5.2,12.59,-23.01,19.48,20.67,6/30/2003,-16.2,18.99,17.22,49.64,49.64,13.93,5.17,0.68,11.24,-0.17,-0.17,11.36
Gallium Industries Ltd.,8.03,42.35,1.5,3/31/2005,-0.96,41.51,37.54,44.81,44.81,42.06,,,,1.18,1.61,13.35,10.17,46.12,1.5,3/31/2006,-4.49,52.14,47.65,63.55,63.55,46,,,,2.14,2.66,24.83,11.55,49.19,1.5,3/31/2007,-1.67,53.52,47.14,78.25,78.25,48.73,,,,1.38,1.81,25.65,12.14,51.16,1.5,3/31/2008,5.93,52.2,44.62,80.97,80.97,50.69,,,,0.59,0.77,22.57,11.02,42.01,1.5,9/30/2009,7.17,55.73,42.46,79.21,79.21,36.32,,,,-1.12,-1.12,23.57,7.79,62.65,1.5,3/31/2011,-4.15,60.61,48.61,98.82,98.82,60.37,,,,-3.22,-3.22,45.42,-0.59,44.91,1.5,3/31/2012,0.73,66.8,58.61,92.48,92.48,44.8,,,,-8.39,-8.39,78.85,-0.54,62.23,1.5,3/31/2013,28.22,69.77,60.74,110.04,110.04,61.7,,,,0.06,0.06,66.91,-0.08,72.47,3.15,3/31/2014,1.94,74.21,65.67,98.78,98.78,69.65,,,,0.46,0.46,82.43,0.49,44.18,4.11,3/31/2015,18.33,59.54,49.79,116.02,116.02,43.19,,0.3,-3.02,0.6,0.6,82.27
Geekay Exim (India) Ltd.,,1.13,1,3/31/1992,-2.07,1.26,0.17,4.35,4.35,1.09,3.36,,,-0.13,-0.13,1.45,15.71,40.4,4,3/31/1993,20.76,34.74,29.59,36.39,36.39,39.13,3.44,,,5.85,6.45,8.95,21.28,106.58,6.4,3/31/1994,46.63,98.08,93.23,84.93,84.93,103.89,3.19,,,7.97,9.02,27.75,37.13,211.22,6.4,3/31/1995,52.03,192.83,184.26,168.46,168.46,209.79,3.02,,,15.85,18.09,66.47,96.52,284.08,9.6,3/31/1996,49.43,261.4,244.2,262.81,262.81,267.29,2.52,-8.79,-33.21,22.59,24.44,125.85,91.89,276.57,16.8,3/31/1997,31.91,276.21,258.39,392.92,392.92,269.31,3.11,3.37,-18.86,2.57,3.46,151.31,107.3,209.55,16.8,3/31/1998,14.85,185.02,168.51,395.3,395.3,195.09,3.78,-27.35,14.74,15.41,17.26,113.56,108.89,88.43,16.8,3/31/1999,31.7,85.31,72.02,411.15,411.15,88.36,4.7,,3.69,1.6,3,122.51,110.52,86.19,16.8,3/31/2000,8.99,83.98,72.78,417.92,417.92,78.03,5.63,-24.54,1.79,1.63,2.04,96.55,108.56,210.1,16.8,3/31/2001,-49.51,212.17,194.11,474.93,474.93,194.91,5.38,-2.55,1.92,-1.96,-1.96,150.59
Global E-Solutions Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,3/31/1995,0.48,0.62,0.6,1.1,1.1,,,,,0.01,0.01,0.43,0.01,,1.8,3/31/1996,1.71,2.3,2.04,4.82,4.82,,,-0.09,-1.66,0,0.05,2.09,0.02,3.29,3.95,3/31/1997,3.6,1.35,1.15,5.84,5.84,3.26,,,,0,,1.03,-0.35,1.89,3.95,3/31/1998,3.35,2.5,2.25,5.2,5.2,1.89,6.3,,-0.06,-0.37,-0.37,0.72,-1.09,0.79,3.95,3/31/1999,0.28,1.29,1.12,4.35,4.35,0.79,5.4,-0.01,0.36,-0.74,-0.74,0.96,0.28,6.36,4.75,6/30/2000,3.61,4.99,4.89,6.69,6.69,4.58,5.4,-0.52,0.38,1.37,1.37,1.66
Gujarat Goldcoin Ceramics Ltd.,0.19,0.39,7.54,3/31/1998,0.73,0.2,0,9.25,9.25,,,,,0.19,0.19,0.21,0.27,0.12,11.98,3/31/1999,-0.99,0.04,0,43.13,43.13,,,,,0.08,0.08,2.31,0.07,19.57,16.1,3/31/2000,1.12,25.35,18.97,59.56,59.56,19.52,,,,0.07,0.07,7.87,0.32,42.19,17.1,3/31/2001,7.33,44.46,35.38,66.45,66.45,42.02,,,,0.25,0.25,7.42,1.24,46.93,17.1,3/31/2002,7.6,47.22,39.27,66.8,66.8,46.59,,,,0.91,0.91,8.94,1.66,45.78,17.1,3/31/2003,8.78,45.78,37.31,64.08,64.08,45.61,,,,0.42,0.48,7.33,2.05,40.97,17.1,3/31/2004,7.08,39.42,33.69,63.4,63.4,40.8,,,,0.39,0.45,8.62,2.06,38.09,17.1,3/31/2005,5.53,38.45,33.75,61.73,61.73,37.94,,-0.6,5.22,0.01,0.01,10.07,-17.53,24.91,17.1,3/31/2006,-12.27,39.71,27.62,40.47,40.47,24.63,,-0.11,3.19,-20.79,-20.79,8.67,-21.4,3.46,17.1,3/31/2007,-14.92,4.01,2.65,34.16,34.16,2.51,,0.07,0.16,-3.87,-3.87,6.3
Gujarat Optical Communication Ltd.,,,,,,,,,,,0.77,,,,,,,,,3/31/1995,74.88,,,97.91,97.91,,0.72,-17.3,1.45,,,1.73,-0.05,2.42,17.1,3/31/1996,-2.78,3.22,1.41,67.53,67.53,0.4,0.6,-32.25,1.08,-0.05,-0.05,10.52,-6.3,2.87,17.1,3/31/1997,-4.99,10.64,4.43,74.77,74.77,2.16,0.72,-9.72,-6.68,-6.25,-6.25,10.75,-5.87,66.18,17.1,6/30/1998,-2.94,84.42,67.24,109.84,109.84,65.4,0.63,-2.15,-1.81,0.43,0.43,26.78,-11.22,69.99,17.1,6/30/1999,12.59,63.97,45.11,112.1,112.1,68.29,0.74,1.29,-0.84,-5.35,-5.35,19.86,-16.02,68.49,17.1,6/30/2000,8.53,90.12,70.78,127.75,127.75,65.57,0.87,2.17,-3.2,-4.8,-4.8,23.76,-34.06,26.56,17.1,6/30/2001,0.22,41.09,21.21,119.9,119.9,24.78,1.04,1.76,3.59,-18.04,-18.04,22.59,-49.02,56.56,17.1,6/30/2002,-1.3,71.09,53.04,114.5,114.5,55.23,1.03,1.29,6.66,-14.96,-14.96,23.78,-63.36,20.71,17.1,6/30/2003,-17.4,18.59,14.8,84.78,84.78,17.38,1.03,0.75,5.48,-14.34,-14.34,12.91
Gujarat Perstorp Electronics Ltd.,-9.71,2.28,13.83,3/31/1995,-4.12,10.92,5.18,32.61,32.61,2.24,2.9,-0.13,-25.14,-7.24,-7.24,3.81,-21.84,3.01,13.83,9/30/1996,-9.54,14.07,3.26,28,28,2.92,2.9,0.07,0.43,-12.13,-12.13,3.33,-30.01,2.33,13.83,9/30/1997,-13.39,10.08,0.82,24.79,24.79,0.19,2.9,0.02,-0.62,-8.17,-8.17,2.66,-35.8,5.71,13.83,9/30/1998,-1.65,14.08,8.78,29.61,29.61,5.69,2.77,3.7,-8.11,-5.79,-5.79,3.44,-38.61,5.63,13.83,3/31/1999,-0.01,8.14,5.43,29.87,29.87,5.54,2.77,-0.17,-1.38,-2.81,-2.81,2.4,-41.92,19.29,13.83,3/31/2000,0.1,21.23,17.39,30.54,30.54,19.24,2.77,-0.04,0.16,-3.31,-3.31,4,-29.6,41.95,13.83,3/31/2001,2.18,31.22,28.13,32.23,32.23,28.86,2.21,,,12.32,12.32,5.99,-19.74,18.21,1.38,3/31/2002,1.34,20.78,17.65,27.29,27.29,17.12,1.94,-0.07,-0.82,-2.59,-2.59,2.24,-22.18,14.48,1.38,3/31/2003,-1.98,15.95,13.01,23.25,23.25,14.33,1.59,-0.11,3.73,-2.44,-2.44,2.95,-28.55,4.89,1.38,3/31/2004,-7.58,9.75,4.66,16.05,16.05,4.84,1.59,-0.02,1.98,-6.37,-6.37,1.71
Gupta Exim (India) Pvt. Ltd.,44.79,211.18,13.76,3/31/2011,66.18,201.25,177.48,325.92,325.92,,,-39.45,1.99,9.93,9.93,173.25,56.44,277.95,13.76,3/31/2012,-11.05,266.3,223.65,366.29,366.29,,,-48.76,46.73,11.65,11.65,191.48,51.05,339.43,23.76,3/31/2013,65.66,344.82,297.75,544.1,544.1,,,-19.44,23.39,-5.39,-5.39,379.59,-30.68,323.91,40.26,3/31/2014,206.56,430.26,291.83,514.76,514.76,323.06,,-2.4,-236.47,-116.37,-116.37,117.66,-103.69,330.31,40.26,3/31/2015,206.53,395.82,330.22,489.07,489.07,330.29,,-3.15,-47.78,-71.96,-71.96,94.46,-341.21,244.86,40.26,3/31/2016,76.17,489.18,225.93,343.1,343.1,244.14,,-8.02,68.2,-237.52,-237.52,166,-408.94,248.25,40.26,3/31/2017,-51.79,307.29,239.18,246.48,246.48,247.92,,-3.31,66.64,-67.73,-67.73,137.9,-462.61,270.51,40.26,3/31/2018,-114.98,333.03,261.36,237.13,237.13,256.58,,-0.54,87.08,-53.74,-53.74,197.47,-488.65,165.63,40.26,3/31/2019,-126.07,159.76,144.79,158.15,158.15,163.79,,0.96,5.81,-26.05,-26.05,148.09,-502.61,68.4,40.26,3/31/2020,-534.59,79.27,66.68,140.73,140.73,68.07,,0,1.23,-13.96,-13.96,552.78
Hico Products Ltd.,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,0.81,,,,,,4.75,60.95,3.3,3/31/1989,14.76,60.94,54.6,36.03,36.03,60.81,0.66,,,0.12,0.12,7.35,3.83,49.43,3.3,3/31/1990,14.7,51.39,44.9,33.54,33.54,49.28,0.51,,,-0.92,-0.92,6.21,4.18,51.96,3.3,3/31/1991,15.05,50.07,44.64,34.97,34.97,51.43,0.41,,,0.34,0.74,8.26,5.44,64.66,3.3,3/31/1992,7.61,64.52,57.1,36.28,36.28,62.82,0.49,,,1.27,1.76,9.28,5.82,72.14,3.3,3/31/1993,9.46,72.52,65.42,41.39,41.39,70.6,0.49,,,0.38,0.71,11.55,4.66,67.75,3.3,3/31/1994,7.65,69.74,63.4,42.63,42.63,67.08,0.49,,,-1.16,-1.16,13.23,2.44,66.16,3.3,3/31/1995,0.69,67.76,61.24,39.7,39.7,63.76,0.51,-0.13,5.74,-2.22,-2.22,13.14,2.76,74.44,3.3,9/30/1996,-11.81,70.78,61.37,38.28,38.28,59.71,0.51,0.75,5.45,0.32,0.32,11.47
Him Ispat Ltd.,3.64,42.42,2.79,12/31/1990,2.56,42.47,39.08,27.72,27.72,42.36,1.53,,,1.07,1.39,5.25,4.83,45.45,2.89,3/31/1992,3.67,47.3,44.1,40.22,40.22,45.14,1.46,,,1.14,1.14,10.65,-0.54,58.05,4.6,3/31/1993,-0.78,66.11,60.25,44.22,44.22,57.47,1.19,,,-6.22,-6.22,15.04,-10.2,36.78,4.6,3/31/1994,-5.41,41.11,33.3,41.95,41.95,34.56,1.31,,,-9.82,-9.82,15.84,-17.46,42.59,4.6,3/31/1995,-8.84,51.64,44.41,42.58,42.58,42.21,1.12,,,-7.26,-7.26,21,-22.54,64.27,7.46,3/31/1996,-4.25,72.48,63.79,52.33,52.33,63.23,0.86,-0.03,4.13,-5.08,-5.08,31.2,-27.7,73.57,7.46,3/31/1997,-0.24,77.05,66.95,57.27,57.27,73.02,0.67,-0.36,0.58,-5.16,-5.16,33.64,-35.32,84.8,7.46,3/31/1998,-4.25,96.04,84.04,67.45,67.45,84.52,0.75,-0.76,6.7,-7.62,-7.62,46.64,-53.09,86.65,7.46,3/31/1999,-15.37,101.42,85.81,55.48,55.48,86.25,0.75,-0.24,2.14,-17.77,-17.77,39.14,-69.35,44.24,7.46,3/31/2000,-23.23,59.67,45.95,50.42,50.42,44.17,0.75,-0.09,-30.06,-16.26,-16.26,9.07
India Glycols Ltd.,453.69,3080.91,27.88,3/31/2012,-489.81,2948.08,2536.02,2964.95,2964.95,2964.18,2429.55,-222.19,-47.11,94.87,104.59,1707.8,598.08,3915.18,30.96,3/31/2013,-226.75,3793.39,3410.62,3041.01,3041.01,3856.37,2394.87,-242.38,768.89,99.31,120.94,1585.26,474.6,3495.48,30.96,3/31/2014,-608.74,3674.38,3288.73,3329.76,3329.76,3449.31,2347.04,1.73,-137.61,-123.17,-119.54,1966.94,424.33,3298.38,30.96,3/31/2015,-929.49,3340.9,2957.62,3329.68,3329.68,3125.51,2204.46,154.63,-154.23,-61.34,-61.34,2345.31,771.25,3326.38,30.96,3/31/2016,-770.22,3402.55,3116.17,3816.35,3816.35,3267.29,2195.33,-79.18,1223.32,-42.31,-42.31,1751.19,815.26,3596.01,30.96,3/31/2017,-549.37,3575.45,3366.21,3954.94,3954.94,3580.34,2171.18,-40.77,302.43,44.52,44.52,2044.96,910.16,4177.29,30.96,3/31/2018,-438.37,4031.87,3782.95,3892.24,3892.24,4154.97,2047.17,-145.29,487.42,94.35,98.08,1815.21,1043.44,5144.77,30.96,3/31/2019,-242.72,5007.87,4670.89,4229.25,4229.25,5108.95,2012.5,-132.99,148.38,133.28,148.21,1858.25,1126.79,5971.07,30.96,3/31/2020,-252.39,5816.44,4853.82,4522.93,4522.93,5190.49,1983.08,-156.09,344.28,83.46,128.26,2110.1,1214.06,6176.93,30.96,3/31/2021,-24.35,6107.03,5131.85,4252.72,4252.72,5383.58,2103.68,-157.31,141.65,84.3,84.3,1814.03
India Securities Ltd. [Merged],-21.11,16.21,26.59,3/31/2002,-26.09,16.37,1.84,71.39,71.39,1.65,5132.17,8.37,-8.06,-0.16,-0.16,63,-21.3,13.88,26.59,3/31/2003,-20.02,14.07,2.52,56.32,56.32,4.38,5097.13,-1.77,4.25,-0.19,-0.19,48.34,-21.63,11.31,26.59,3/31/2004,-17.91,11.64,3.38,55.95,55.95,6.1,5101.51,-1.5,-1.5,-0.33,-0.33,48.18,-22.96,27.54,26.59,3/31/2005,-3.78,28.87,2.17,62.32,62.32,18.54,5066.48,-3.44,20.26,-1.33,-1.33,57.69,-17.69,10.99,26.59,3/31/2006,-6.95,5.72,1.36,64.33,64.33,,5018.31,0.82,-2.42,5.27,5.27,54.3,-13.03,25.68,26.59,3/31/2007,-17.04,21.03,1.32,68.78,68.78,9.09,5092.76,-12.05,-2.47,4.65,4.65,39.68,-8.55,11.57,26.59,3/31/2008,-28.31,7.09,1.56,91.42,91.42,2.38,5035.83,2.05,6.57,4.48,4.48,57.25,16.68,55.4,15.95,3/31/2009,-3.3,51.42,1.35,61.22,61.22,2.4,5005.18,-555.41,-3.2,2.23,3.98,24.59,343.5,15.09,19.96,3/31/2010,10.75,8.26,1.52,412.86,412.86,2.4,4970.14,-350.68,-12.97,6.83,6.83,5.65,-2.17,8.01,87.58,3/31/2011,10.87,376.91,1.58,1809.23,1809.23,2.2,4926.35,-45.33,53.6,-368.9,-368.9,4.02
Indian Products Pvt. Ltd.,54.79,206.36,1.74,3/31/2012,3.31,203.2,185.99,174.79,174.79,205.03,,-9.65,-19.28,1.77,1.77,116.56,54.85,159.73,1.74,3/31/2013,-0.16,170.91,154.4,169.11,169.11,158.25,,-10.6,38.61,0.06,0.06,110.24,54.78,296.61,4.5,3/31/2014,5.81,283.82,264.77,197.55,197.55,296.28,,-8.14,-16.27,0.57,0.57,133.04,59.51,310.22,4.5,3/31/2015,7.69,346.73,325.1,247.16,247.16,303.43,,-1.37,-12.12,4.83,4.83,178.03,61.8,400.98,4.5,3/31/2016,5.51,382.28,364.42,243.08,243.08,398.98,,-5.54,6.54,2.29,2.29,170.99,62.06,336.91,4.5,3/31/2017,2.06,325,300.94,259.64,259.64,332.67,,-1.24,-10.21,0.26,0.26,186.68,62.59,324.43,4.5,3/31/2018,6.16,362.4,337.22,262.05,262.05,324.1,,-2.31,15.89,0.53,0.53,186.68,63.74,306.49,4.5,3/31/2019,17.09,273.97,260.06,235.09,235.09,301.23,,-1.45,39.81,1.15,1.15,156.18,64.94,250.51,4.5,3/31/2020,17.8,241.16,229.77,214.18,214.18,243.33,,-3.75,46.32,1.2,1.2,134.33,66.63,328.53,4.5,3/31/2021,19.92,317.22,306.49,217.72,217.72,321.3,,-3.76,-2.86,1.69,1.69,133.87
Indiana Dairy Specialities Ltd.,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,0.76,,,,,,0.53,4.94,3,3/31/1993,0.03,3.95,3.75,4.81,4.81,4.94,0.64,,,0.47,1.01,0.72,2.2,10.6,3,3/31/1994,19.56,8.33,7.77,30.56,30.56,10.49,0.49,,,1.67,2.3,1.09,7.08,22.74,6.07,3/31/1995,4.56,20.23,18.58,26.85,26.85,22.72,0.58,-12.02,0.59,1.81,3.09,2.57,10.46,59.89,6.09,6/30/1996,9.31,55.71,49.4,52.7,52.7,59.79,0.46,-14.82,7.27,3.35,4.95,10.49
Indianroots Shopping Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,0.06,3/31/2013,-0.17,0.23,0.23,0.08,0.08,,,,-0.06,-0.23,-0.23,0.25,-6.91,5.7,0.09,3/31/2014,0.36,30.8,30.1,25,25,5.61,,-5.43,-27.64,-24.65,-24.65,13.03,12.59,19.83,0.13,3/31/2015,-4.26,35.38,34.49,27.94,27.94,19.34,,1.3,-21.07,-15.57,-15.57,15.14,30.04,21.18,0.14,3/31/2016,25.47,34.99,33.92,43.92,43.92,21.02,,0.84,-31.54,-14.05,-14.05,13.62,23.64,3.99,0.14,3/31/2017,19.69,10.25,8.98,44.27,44.27,3.71,,0.02,-6.26,-6.4,-6.4,20.46
