,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity
206,16.68,42.2,9/30/1997,117.71,133.57,137.91,137.91,15.4,-15.8,116.41,28.84,-42.03,18.0,Beta Naphthol Ltd.,58.88
207,16.68,-26.97,6/30/1998,38.91,103.27,94.0,94.0,19.09,-69.17,38.91,-6.11,-4.91,9.0,Beta Naphthol Ltd.,-10.29
208,16.68,-67.21,3/31/1999,3.77,43.34,72.37,72.37,27.66,-40.23,3.77,1.1,0.03,9.0,Beta Naphthol Ltd.,-50.529999999999994
209,17.28,-92.17,3/31/2000,1.38,26.31,78.63,78.63,46.41,-25.0,1.38,12.82,0.01,12.0,Beta Naphthol Ltd.,-74.89
210,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
211,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
212,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
213,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
214,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
215,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
216,,,,,,,,,,,,,,Brandhouse Oviesse Ltd.,
217,0.05,-2.7,3/31/2010,,2.7,3.09,3.09,5.74,-2.7,,0.69,-0.72,9.0,Brandhouse Oviesse Ltd.,-2.6500000000000004
218,20.49,-15.58,3/31/2011,4.89,25.87,22.39,22.39,10.31,-12.88,4.89,-20.48,-5.39,12.0,Brandhouse Oviesse Ltd.,4.909999999999998
219,46.37,-43.46,3/31/2012,16.37,49.24,32.88,32.88,19.08,-27.88,16.36,-24.85,-5.63,12.0,Brandhouse Oviesse Ltd.,2.9099999999999966
220,138.63,-375.22,3/31/2006,10.44,22.47,116.07,116.07,115.29,-12.03,0.54,1.41,1.96,12.0,C F L Capital Financial Services Ltd.,-236.59000000000003
221,138.63,-354.48,3/31/2007,15.3,12.88,107.15,107.15,115.38,2.42,0.08,9.94,2.98,12.0,C F L Capital Financial Services Ltd.,-215.85000000000002
222,138.63,-360.14,3/31/2008,23.99,29.71,85.46,85.46,97.83,-5.72,0.08,13.99,3.66,12.0,C F L Capital Financial Services Ltd.,-221.51
223,138.63,-367.19,3/31/2009,5.88,12.94,72.14,72.14,93.13,-7.06,0.07,2.64,0.33,12.0,C F L Capital Financial Services Ltd.,-228.56
224,138.63,-374.85,3/31/2010,3.65,11.54,68.54,68.54,96.7,-7.89,0.06,4.62,1.94,12.0,C F L Capital Financial Services Ltd.,-236.22000000000003
225,138.63,-384.92,3/31/2011,8.62,18.69,48.47,48.47,259.84,-10.07,0.06,11.93,1.39,12.0,C F L Capital Financial Services Ltd.,-246.29000000000002
226,138.66,-553.52,3/31/2012,4.15,172.79,46.93,46.93,436.65,-168.64,0.05,172.67,4.19,12.0,C F L Capital Financial Services Ltd.,-414.86
227,138.66,-602.77,3/31/2013,1.71,50.96,43.54,43.54,482.52,-49.25,0.04,37.61,2.01,12.0,C F L Capital Financial Services Ltd.,-464.11
228,138.66,-659.93,3/31/2014,23.06,80.22,23.28,23.28,519.44,-57.16,0.04,51.88,0.92,12.0,C F L Capital Financial Services Ltd.,-521.27
229,138.66,-725.36,3/31/2015,3.42,68.84,20.83,20.83,582.44,-65.42,0.04,65.63,-0.36,12.0,C F L Capital Financial Services Ltd.,-586.7
230,,,,,,,,,,,,,,Chem-Edge International Pvt. Ltd.,
231,,,,,,,,,,,,,,Chem-Edge International Pvt. Ltd.,
232,,,,,,,,,,,,,,Chem-Edge International Pvt. Ltd.,
233,,,,,,,,,,,,,,Chem-Edge International Pvt. Ltd.,
234,,,,,,,,,,,,,,Chem-Edge International Pvt. Ltd.,
235,25.0,2.49,3/31/2011,901.43,899.05,178.87,178.87,96.53,2.38,901.43,-49.79,-1.43,12.0,Chem-Edge International Pvt. Ltd.,27.490000000000002
236,70.0,12.58,3/31/2012,773.99,763.9,385.3,385.3,236.48,10.09,773.99,-39.2,4.66,12.0,Chem-Edge International Pvt. Ltd.,82.58
237,87.75,25.58,3/31/2013,1031.77,1018.77,453.33,453.33,248.56,13.0,1031.77,-76.7,2.18,12.0,Chem-Edge International Pvt. Ltd.,113.33
238,100.0,43.16,3/31/2014,1684.05,1626.08,614.65,614.65,372.73,17.59,1681.56,-131.75,2.43,12.0,Chem-Edge International Pvt. Ltd.,143.16
239,100.0,47.97,3/31/2015,1948.49,1906.99,630.87,630.87,380.64,4.92,1947.41,7.53,-4.05,12.0,Chem-Edge International Pvt. Ltd.,147.97
240,,,,,,,,,,,,,,Chemoleums Ltd.,
241,,,,,,,,,,,,,,Chemoleums Ltd.,
242,,,,,,,,,,,,,,Chemoleums Ltd.,
243,,,,,,,,,,,,,,Chemoleums Ltd.,
244,,,,,,,,,,,,,,Chemoleums Ltd.,
245,,,,,,,,,,,,,,Chemoleums Ltd.,
246,,,,,,,,,,,,,,Chemoleums Ltd.,
247,0.6,3.07,3/31/2000,61.84,63.18,27.41,27.41,10.66,0.41,61.59,,,12.0,Chemoleums Ltd.,3.67
248,1.6,1.94,3/31/2001,59.94,60.03,29.08,29.08,11.24,-1.14,58.35,,,12.0,Chemoleums Ltd.,3.54
249,1.6,2.99,3/31/2002,67.41,67.38,46.56,46.56,13.12,1.06,67.08,3.77,-14.54,12.0,Chemoleums Ltd.,4.59
250,0.72,22.0,3/31/2008,28.45,22.24,31.13,31.13,8.4,6.6,22.66,0.2,0.34,12.0,Cheviot International Ltd.,22.72
251,0.72,23.12,3/31/2009,21.71,19.31,30.84,30.84,6.99,1.96,19.82,2.72,1.5,12.0,Cheviot International Ltd.,23.84
252,0.72,26.87,3/31/2010,22.43,17.99,30.61,30.61,3.01,4.59,19.24,1.22,2.42,12.0,Cheviot International Ltd.,27.59
253,0.72,29.86,3/31/2011,24.38,20.07,33.16,33.16,1.71,4.25,19.96,-2.78,0.25,12.0,Cheviot International Ltd.,30.58
254,0.72,32.97,3/31/2012,29.24,24.71,36.37,36.37,1.64,4.37,27.03,-1.75,3.35,12.0,Cheviot International Ltd.,33.69
255,0.72,45.02,3/31/2016,32.05,27.57,47.62,47.62,1.22,4.25,29.55,,,12.0,Cheviot International Ltd.,45.74
256,0.72,47.74,3/31/2017,28.76,26.32,50.71,50.71,1.57,2.73,27.02,-1.42,0.48,12.0,Cheviot International Ltd.,48.46
257,0.72,57.69,3/31/2018,35.2,24.82,59.74,59.74,1.13,9.95,26.09,4.17,-3.39,12.0,Cheviot International Ltd.,58.41
258,0.72,61.62,3/31/2019,16.57,12.63,63.26,63.26,0.77,3.93,12.41,0.18,-0.5,12.0,Cheviot International Ltd.,62.339999999999996
259,0.72,62.26,3/31/2020,17.0,16.18,64.91,64.91,1.81,0.61,13.53,-1.07,1.6,12.0,Cheviot International Ltd.,62.98
260,10.35,1.71,3/31/1997,24.05,24.76,26.55,26.55,5.11,0.26,23.92,1.65,-1.74,12.0,Clarisis Organics Ltd.,12.059999999999999
261,10.35,2.28,3/31/1998,35.96,35.16,29.77,29.77,7.13,0.57,35.95,2.52,-1.21,12.0,Clarisis Organics Ltd.,12.629999999999999
262,10.35,-1.09,3/31/1999,25.91,29.63,26.73,26.73,6.73,-3.37,25.9,1.23,-0.76,12.0,Clarisis Organics Ltd.,9.26
263,10.35,-2.79,3/31/2000,29.76,31.51,27.13,27.13,9.39,-1.7,29.43,2.45,-0.34,12.0,Clarisis Organics Ltd.,7.56
264,10.35,-4.41,3/31/2001,35.1,35.39,25.56,25.56,9.15,-1.62,34.97,2.16,-0.63,12.0,Clarisis Organics Ltd.,5.9399999999999995
265,10.35,-7.27,3/31/2002,16.55,18.19,18.7,18.7,3.6,-3.03,16.12,-1.25,-0.25,12.0,Clarisis Organics Ltd.,3.08
266,10.35,-7.92,3/31/2003,10.78,11.52,15.51,15.51,3.0,-0.66,10.78,1.66,-0.2,12.0,Clarisis Organics Ltd.,2.4299999999999997
267,10.35,-10.24,3/31/2004,5.3,8.39,15.78,15.78,3.37,-2.32,5.24,0.7,-0.3,12.0,Clarisis Organics Ltd.,0.10999999999999943
268,10.35,-13.21,9/30/2005,7.24,8.39,12.13,12.13,4.58,-2.24,7.22,2.69,0.12,9.0,Clarisis Organics Ltd.,-2.860000000000001
269,10.35,-14.99,9/30/2006,7.68,9.16,10.22,10.22,6.23,-1.78,7.07,2.52,-0.11,12.0,Clarisis Organics Ltd.,-4.640000000000001
270,,,,,,,,,,,,,,Conway Printers Ltd.,
271,0.5,0.37,3/31/1990,5.34,5.64,7.44,7.44,0.93,-0.29,4.86,,,12.0,Conway Printers Ltd.,0.87
272,1.0,0.44,3/31/1991,6.53,6.43,7.22,7.22,0.88,0.07,6.46,,,12.0,Conway Printers Ltd.,1.44
273,1.0,0.84,3/31/1992,7.09,6.86,7.54,7.54,1.13,0.4,7.07,,,12.0,Conway Printers Ltd.,1.8399999999999999
274,1.0,4.39,3/31/1993,7.93,7.67,11.66,11.66,2.56,0.38,7.88,,,12.0,Conway Printers Ltd.,5.39
275,1.0,4.77,3/31/1994,9.24,8.45,13.01,13.01,3.8,0.8,9.09,,,12.0,Conway Printers Ltd.,5.77
276,4.09,10.48,3/31/1995,10.79,9.23,22.93,22.93,2.97,1.4,10.43,-0.32,-6.96,12.0,Conway Printers Ltd.,14.57
277,4.09,10.83,3/31/1996,16.3,15.28,26.95,26.95,6.6,1.32,16.18,2.46,-1.71,12.0,Conway Printers Ltd.,14.92
278,4.09,9.36,3/31/1997,12.79,14.44,23.76,23.76,4.22,-1.25,12.2,1.1,-0.39,12.0,Conway Printers Ltd.,13.45
279,4.09,6.13,3/31/1998,10.76,13.29,24.35,24.35,5.22,-3.03,10.69,0.68,-2.53,12.0,Conway Printers Ltd.,10.219999999999999
280,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
281,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
282,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
283,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
284,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
285,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
286,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
287,,,,,,,,,,,,,,Crocodile Products Pvt. Ltd.,
288,2.86,-7.44,3/31/2007,10.93,17.04,10.66,10.66,4.77,-5.08,10.72,-1.42,-1.1,12.0,Crocodile Products Pvt. Ltd.,-4.58
289,3.8,-10.58,3/31/2008,17.33,18.71,8.87,8.87,5.05,-3.15,15.16,-2.29,1.84,12.0,Crocodile Products Pvt. Ltd.,-6.78
290,,,,,,,,,,,,,,Crown Television Ltd.,
291,,,,,,,,,,,,,,Crown Television Ltd.,
292,,,,,,,,,,,,,,Crown Television Ltd.,
293,,,,,,,,,,,,,,Crown Television Ltd.,
294,,,,,,,,,,,,,,Crown Television Ltd.,
295,0.4,13.58,3/31/1991,78.69,78.53,41.77,41.77,16.46,1.95,77.04,,,12.0,Crown Television Ltd.,13.98
296,0.5,13.15,3/31/1992,75.03,74.46,44.79,44.79,20.23,-0.6,73.93,,,12.0,Crown Television Ltd.,13.65
297,5.28,19.12,3/31/1994,104.2,103.67,54.05,54.05,22.93,2.54,104.05,,,12.0,Crown Television Ltd.,24.400000000000002
298,5.28,20.12,3/31/1995,94.06,91.71,56.85,56.85,23.2,1.79,93.4,1.02,-1.5,12.0,Crown Television Ltd.,25.400000000000002
299,5.28,13.15,3/31/1996,92.67,98.34,54.99,54.99,27.65,-6.97,92.29,2.18,-0.41,12.0,Crown Television Ltd.,18.43
300,,,,,,,,,,,,,,Curefast Remedies Ltd.,
301,,,,,,,,,,,,,,Curefast Remedies Ltd.,
302,,,,,,,,,,,,,,Curefast Remedies Ltd.,
303,,,,,,,,,,,,,,Curefast Remedies Ltd.,
304,,,,,,,,,,,,,,Curefast Remedies Ltd.,
305,,,,,,,,,,,,,,Curefast Remedies Ltd.,
306,,,,,,,,,,,,,,Curefast Remedies Ltd.,
307,,,,,,,,,,,,,,Curefast Remedies Ltd.,
308,3.96,1.05,3/31/1995,8.85,7.78,9.15,9.15,2.68,1.19,8.83,,,12.0,Curefast Remedies Ltd.,5.01
309,4.22,1.38,3/31/1996,11.05,10.58,10.94,10.94,2.08,0.38,11.03,-0.33,-1.38,12.0,Curefast Remedies Ltd.,5.6
310,16.75,-4.08,3/31/2003,1.52,1.88,15.49,15.49,2.82,-0.36,0.91,,,12.0,D C M International Ltd.,12.67
311,16.75,-4.3,3/31/2005,2.09,2.48,17.73,17.73,5.28,-0.39,1.63,,,12.0,D C M International Ltd.,12.45
312,1.68,-0.01,3/31/2006,,,1.72,1.72,0.05,,,,,12.0,D C M International Ltd.,1.67
313,1.68,0.23,3/31/2007,0.28,0.05,4.29,4.29,0.04,0.23,0.25,,,12.0,D C M International Ltd.,1.91
314,6.18,0.22,3/31/2008,0.01,0.01,18.9,18.9,0.86,0.0,,,,12.0,D C M International Ltd.,6.3999999999999995
315,6.18,0.24,3/31/2009,0.03,0.02,27.41,27.41,1.21,0.01,,0.04,-8.88,12.0,D C M International Ltd.,6.42
316,7.58,-0.47,3/31/2010,2.88,3.59,28.39,28.39,1.04,-0.71,2.88,-0.78,0.89,12.0,D C M International Ltd.,7.11
317,7.58,-0.11,3/31/2011,4.47,4.11,27.77,27.77,4.73,0.36,4.45,2.16,,12.0,D C M International Ltd.,7.47
318,7.58,0.51,3/31/2012,4.66,4.05,32.44,32.44,3.46,0.61,4.66,-3.34,-0.01,12.0,D C M International Ltd.,8.09
319,7.58,-0.66,3/31/2013,1.83,2.99,37.57,37.57,2.8,-1.16,1.81,-4.9,-0.02,12.0,D C M International Ltd.,6.92
320,44.47,550.71,3/31/2012,226.33,414.54,5606.6,5606.6,4170.04,-188.21,48.07,110.87,-66.32,12.0,D L F Universal Ltd.,595.1800000000001
321,54.46,461.31,3/31/2013,746.31,1026.5,5395.74,5395.74,4103.41,-280.19,593.73,-716.7,1175.64,12.0,D L F Universal Ltd.,515.77
322,54.46,150.42,3/31/2014,606.63,917.53,5826.49,5826.49,4545.24,-310.9,524.06,-352.22,-274.18,12.0,D L F Universal Ltd.,204.88
323,54.55,-369.59,3/31/2015,319.8,832.71,6352.41,6352.41,5814.16,-512.91,208.97,-130.94,-155.57,12.0,D L F Universal Ltd.,-315.03999999999996
324,0.05,-53.84,3/31/2016,12.05,24.08,94.5,94.5,145.89,-12.03,10.43,1.82,,12.0,D L F Universal Ltd.,-53.790000000000006
325,0.05,-61.75,3/31/2017,12.31,20.22,77.58,77.58,136.91,-7.91,11.12,-3.74,1.58,12.0,D L F Universal Ltd.,-61.7
326,0.05,-68.07,3/31/2018,12.42,18.75,69.21,69.21,136.96,-6.33,11.51,-0.38,2.76,12.0,D L F Universal Ltd.,-68.02
327,0.05,-77.49,3/31/2019,14.63,45.2,111.48,111.48,188.91,-9.41,13.81,-0.98,-9.54,12.0,D L F Universal Ltd.,-77.44
328,50.05,-78.33,3/31/2020,53.09,64.05,104.91,104.91,119.3,-0.84,40.13,8.81,-4.41,12.0,D L F Universal Ltd.,-28.28
329,50.05,-77.4,3/31/2021,60.26,49.82,75.33,75.33,93.52,0.92,54.84,1.84,4.56,12.0,D L F Universal Ltd.,-27.35000000000001
330,,,,,,,,,,,,,,D T D C Worldwide Express Ltd.,
331,,,,,,,,,,,,,,D T D C Worldwide Express Ltd.,
332,,,,,,,,,,,,,,D T D C Worldwide Express Ltd.,
333,0.45,5.84,3/31/2006,36.13,33.0,13.06,13.06,6.72,3.13,35.43,1.48,-0.02,12.0,D T D C Worldwide Express Ltd.,6.29
334,0.45,1.81,6/30/2007,8.05,9.52,3.44,3.44,1.13,-1.47,7.53,0.1,0.08,15.0,D T D C Worldwide Express Ltd.,2.2600000000000002
335,0.45,1.69,3/31/2008,0.66,0.78,3.28,3.28,1.14,-0.12,0.64,-0.16,0.01,9.0,D T D C Worldwide Express Ltd.,2.14
336,0.45,1.65,3/31/2009,1.4,1.44,3.38,3.38,1.28,-0.04,1.37,0.27,-0.18,12.0,D T D C Worldwide Express Ltd.,2.1
337,0.45,1.03,3/31/2010,0.48,1.11,3.04,3.04,1.56,-0.63,0.42,-0.24,0.02,12.0,D T D C Worldwide Express Ltd.,1.48
338,0.45,0.91,3/31/2011,0.03,0.15,2.91,2.91,0.65,-0.12,,-0.24,0.03,12.0,D T D C Worldwide Express Ltd.,1.36
339,0.45,0.77,3/31/2012,2.4,2.54,2.81,2.81,0.74,-0.14,2.23,-0.57,0.05,12.0,D T D C Worldwide Express Ltd.,1.22
340,10.61,80.44,3/31/2012,0.15,0.13,92.52,92.52,1.47,0.02,,,,12.0,Denim Developers Ltd.,91.05
341,10.61,80.75,3/31/2013,0.65,0.33,107.91,107.91,16.55,0.32,,-61.03,66.73,12.0,Denim Developers Ltd.,91.36
342,10.62,80.38,3/31/2014,0.11,0.96,114.37,114.37,23.37,-0.39,,-3.5,-11.84,12.0,Denim Developers Ltd.,91.0
343,10.61,79.1,3/31/2015,0.29,12.51,110.49,110.49,9.27,-1.26,0.06,16.01,-12.91,12.0,Denim Developers Ltd.,89.71
344,10.61,78.36,3/31/2016,0.47,1.2,112.94,112.94,12.46,-0.73,0.06,-0.16,-2.29,12.0,Denim Developers Ltd.,88.97
345,10.61,68.17,3/31/2017,1.4,1.27,108.06,108.06,29.28,0.13,,-6.28,2.08,12.0,Denim Developers Ltd.,78.78
346,10.61,67.9,3/31/2018,1.53,1.81,104.22,104.22,25.71,-0.27,,5.85,-0.91,12.0,Denim Developers Ltd.,78.51
347,10.61,76.49,3/31/2019,2.73,28.25,89.79,89.79,2.69,0.13,,13.23,10.43,12.0,Denim Developers Ltd.,87.1
348,10.61,76.94,3/31/2020,1.05,1.03,90.53,90.53,2.98,0.5,0.04,13.36,-13.38,12.0,Denim Developers Ltd.,87.55
349,10.61,77.12,3/31/2021,0.5,2.54,90.16,90.16,2.43,0.17,0.05,1.04,-1.03,12.0,Denim Developers Ltd.,87.73
350,,,,,,,,,,,,,,Dhar Cement Ltd.,
351,2.24,0.41,3/31/1989,13.31,13.41,11.9,11.9,1.71,-0.07,13.28,,,15.0,Dhar Cement Ltd.,2.6500000000000004
352,2.24,0.46,3/31/1990,12.01,12.08,11.75,11.75,1.51,0.05,11.99,,,12.0,Dhar Cement Ltd.,2.7
353,2.24,1.36,3/31/1991,16.0,15.06,13.36,13.36,2.13,1.33,15.97,,,12.0,Dhar Cement Ltd.,3.6000000000000005
354,3.61,3.72,3/31/1992,18.36,16.34,22.98,22.98,3.04,3.08,18.34,,,12.0,Dhar Cement Ltd.,7.33
355,5.64,13.06,3/31/1993,16.71,14.96,42.07,42.07,2.78,1.75,16.51,,,12.0,Dhar Cement Ltd.,18.7
356,5.83,13.89,3/31/1994,14.47,14.97,53.07,53.07,5.32,0.06,14.41,,,12.0,Dhar Cement Ltd.,19.72
357,6.35,17.04,3/31/1995,24.71,23.99,66.17,66.17,7.65,0.7,23.19,,,12.0,Dhar Cement Ltd.,23.39
358,8.35,12.69,3/31/1996,32.74,39.25,70.43,70.43,7.92,-4.35,32.59,3.57,-3.65,12.0,Dhar Cement Ltd.,21.04
359,8.35,1.53,3/31/1997,23.73,37.12,67.64,67.64,7.3,-11.16,23.64,1.11,-2.32,12.0,Dhar Cement Ltd.,9.879999999999999
360,,,,,,,,,,,,,,Duck Tarpaulins Ltd.,
361,,,,,,,,,,,,,,Duck Tarpaulins Ltd.,
362,,,,,,,,,,,,,,Duck Tarpaulins Ltd.,
363,,,,,,,,,,,,,,Duck Tarpaulins Ltd.,
364,0.48,0.01,3/31/1994,0.22,0.21,0.86,0.86,0.29,0.01,0.22,,,12.0,Duck Tarpaulins Ltd.,0.49
365,4.35,0.1,3/31/1995,4.49,5.53,8.56,8.56,1.2,0.21,4.28,-3.48,-2.84,12.0,Duck Tarpaulins Ltd.,4.449999999999999
366,4.35,0.15,3/31/1996,10.76,10.53,12.33,12.33,1.38,0.05,10.66,-0.38,-2.45,12.0,Duck Tarpaulins Ltd.,4.5
367,4.35,-1.23,3/31/1997,9.91,11.28,11.88,11.88,2.22,-1.38,9.91,1.28,-0.21,12.0,Duck Tarpaulins Ltd.,3.1199999999999997
368,4.35,-4.07,3/31/1998,6.17,8.65,10.29,10.29,1.89,-2.84,6.16,-0.15,-0.07,12.0,Duck Tarpaulins Ltd.,0.27999999999999936
369,4.35,-7.44,3/31/1999,3.28,6.55,7.73,7.73,0.74,-3.38,3.19,-0.63,0.0,12.0,Duck Tarpaulins Ltd.,-3.0900000000000007
370,35.42,141.31,3/31/2012,937.72,913.25,5998.41,5998.41,5678.79,24.47,881.42,-28.73,-0.8,12.0,Engineering Projects (India) Ltd.,176.73000000000002
371,35.42,154.53,3/31/2013,885.04,863.58,6360.36,6360.36,5776.84,21.46,834.42,-140.36,45.97,12.0,Engineering Projects (India) Ltd.,189.95
372,35.42,162.45,3/31/2014,890.51,873.52,2236.82,2236.82,1830.0,16.99,854.32,22.95,3.08,12.0,Engineering Projects (India) Ltd.,197.87
373,35.42,180.9,3/31/2015,1060.69,1033.6,1819.59,1819.59,1324.68,27.09,1031.29,30.53,45.71,12.0,Engineering Projects (India) Ltd.,216.32
374,35.42,192.42,3/31/2016,1323.23,1298.68,1618.4,1618.4,1018.9,24.55,1295.47,108.39,2.58,12.0,Engineering Projects (India) Ltd.,227.83999999999997
375,35.42,195.1,3/31/2017,1664.36,1661.67,1954.44,1954.44,1166.85,2.69,1630.38,-5.34,8.82,12.0,Engineering Projects (India) Ltd.,230.51999999999998
376,35.42,195.25,3/31/2018,1624.18,1624.04,1992.88,1992.88,1265.97,0.14,1607.41,,,12.0,Engineering Projects (India) Ltd.,230.67000000000002
377,35.42,162.21,3/31/2019,1797.23,1830.26,1874.26,1874.26,1149.1,-33.03,1791.05,-54.91,-35.95,12.0,Engineering Projects (India) Ltd.,197.63
378,35.42,163.14,3/31/2020,1345.83,1344.91,1981.14,1981.14,1176.11,0.92,1336.59,-64.89,60.0,12.0,Engineering Projects (India) Ltd.,198.56
379,35.42,113.12,3/31/2021,814.19,863.93,1850.49,1850.49,1008.16,-49.74,805.62,22.75,-153.53,12.0,Engineering Projects (India) Ltd.,148.54000000000002
380,,,,,,,,,,,,,,Epsilon Industries Ltd.,
381,,,,,,,,,,,,,,Epsilon Industries Ltd.,
382,3.0,0.6,3/31/2003,49.17,48.93,7.91,7.91,3.8,0.24,49.08,,,12.0,Epsilon Industries Ltd.,3.6
383,3.0,2.97,3/31/2004,45.72,45.55,9.1,9.1,2.43,0.17,45.7,,,12.0,Epsilon Industries Ltd.,5.970000000000001
384,3.0,3.01,3/31/2005,51.74,51.7,11.28,11.28,4.53,0.04,51.71,,,12.0,Epsilon Industries Ltd.,6.01
385,3.0,2.81,3/31/2006,53.73,53.93,11.79,11.79,5.23,-0.2,53.73,0.1,-0.04,12.0,Epsilon Industries Ltd.,5.8100000000000005
386,3.0,2.84,3/31/2007,56.55,56.51,7.44,7.44,0.95,0.04,56.44,,,12.0,Epsilon Industries Ltd.,5.84
387,3.0,2.83,3/31/2008,57.34,57.34,10.61,10.61,4.14,0.0,57.34,,,12.0,Epsilon Industries Ltd.,5.83
388,3.0,2.77,3/31/2009,57.81,57.88,9.91,9.91,4.14,-0.07,57.81,-0.01,0.65,12.0,Epsilon Industries Ltd.,5.77
389,3.0,2.71,3/31/2010,31.41,31.47,9.56,9.56,3.85,-0.06,31.41,-0.2,0.2,12.0,Epsilon Industries Ltd.,5.71
390,1.78,0.22,6/30/1993,1.05,0.83,2.85,2.85,0.3,0.22,1.04,,,12.0,Esskay Pharmaceuticals Ltd.,2.0
391,3.49,0.91,3/31/1994,2.62,1.93,5.32,5.32,0.4,0.69,2.56,,,9.0,Esskay Pharmaceuticals Ltd.,4.4
392,4.35,1.89,3/31/1995,10.28,10.42,10.42,10.42,0.28,0.98,10.27,,,12.0,Esskay Pharmaceuticals Ltd.,6.239999999999999
393,4.44,2.19,3/31/1996,8.08,7.47,13.01,13.01,1.45,0.3,7.77,0.23,-0.62,12.0,Esskay Pharmaceuticals Ltd.,6.630000000000001
394,4.44,-4.49,3/31/1997,1.28,7.96,7.84,7.84,2.19,-6.69,1.25,0.34,0.09,12.0,Esskay Pharmaceuticals Ltd.,-0.04999999999999982
395,4.44,-7.06,3/31/1998,3.88,6.68,9.39,9.39,5.64,-2.57,3.8,0.21,0.14,12.0,Esskay Pharmaceuticals Ltd.,-2.619999999999999
396,4.44,-11.72,3/31/1999,2.44,7.54,7.43,7.43,7.7,-4.65,1.92,0.36,0.08,12.0,Esskay Pharmaceuticals Ltd.,-7.28
397,4.45,-13.53,3/31/2000,3.28,5.2,7.69,7.69,9.25,-1.81,3.21,0.15,-0.13,12.0,Esskay Pharmaceuticals Ltd.,-9.079999999999998
398,4.44,-15.03,3/31/2001,6.74,8.21,8.21,8.21,10.72,-1.51,6.44,-0.01,-0.09,12.0,Esskay Pharmaceuticals Ltd.,-10.59
399,4.44,-16.22,3/31/2002,1.98,3.33,6.53,6.53,10.04,-1.2,1.91,0.03,-0.02,12.0,Esskay Pharmaceuticals Ltd.,-11.779999999999998
400,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
401,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
402,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
403,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
404,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
405,,,,,,,,,,,,,,Future Axiom Telecom Ltd.,
406,2.52,-0.77,6/30/2007,0.52,0.67,1.91,1.91,0.13,-0.1,0.52,-0.28,-0.14,9.0,Future Axiom Telecom Ltd.,1.75
407,20.0,123.82,3/31/2008,75.3,83.93,159.12,159.12,13.52,-5.26,73.66,-23.16,-95.21,9.0,Future Axiom Telecom Ltd.,143.82
408,20.0,90.89,3/31/2009,296.89,331.68,166.59,166.59,55.7,-32.92,286.9,-51.82,35.68,12.0,Future Axiom Telecom Ltd.,110.89
409,20.0,24.98,3/31/2010,264.59,327.69,123.13,123.13,78.15,-65.91,259.68,-5.26,-4.43,12.0,Future Axiom Telecom Ltd.,44.980000000000004
410,,,,,,,,,,,,,,G S P L (India) Ltd.,
411,,,,,,,,,,,,,,G S P L (India) Ltd.,
412,,,,,,,,,,,,,,G S P L (India) Ltd.,
413,,,,,,,,,,,,,,G S P L (India) Ltd.,
414,,,,,,,,,,,,,,G S P L (India) Ltd.,
415,,,,,,,,,,,,,,G S P L (India) Ltd.,
416,3.8,0.39,6/30/1996,1.94,1.94,6.89,6.89,1.56,0.01,1.91,-0.06,-0.59,15.0,G S P L (India) Ltd.,4.1899999999999995
417,4.03,0.15,6/30/1997,1.08,1.65,6.89,6.89,1.47,-0.24,1.05,-0.88,-0.2,12.0,G S P L (India) Ltd.,4.180000000000001
418,4.05,-0.03,3/31/1998,0.63,0.8,6.91,6.91,1.64,-0.18,0.6,0.17,-0.02,9.0,G S P L (India) Ltd.,4.02
419,4.05,-0.27,3/31/1999,0.54,0.79,6.77,6.77,1.58,-0.25,0.53,0.02,-0.05,12.0,G S P L (India) Ltd.,3.78
420,,,,,,,,,,,,,,G T C L Mobile-Com Technology Ltd.,
421,,,,,,,,,,,,,,G T C L Mobile-Com Technology Ltd.,
422,,,3/31/1996,,,20.08,20.08,1.4,,,1.2,-18.58,12.0,G T C L Mobile-Com Technology Ltd.,
423,17.88,-0.37,3/31/1997,1.13,2.43,36.86,36.86,3.29,-0.37,0.98,-6.93,-7.28,12.0,G T C L Mobile-Com Technology Ltd.,17.509999999999998
